CROPPED AREA FOR MAJOR CROPS IN THE WESTERN REGION - 2011 (Figures in Hectares),,,,,,,,,,,,,
DISTRICTS,MAIZE,RICE,CASSAVA,YAM,COCOYAM,PLANTAIN,,,,,,,
Shama Ahanta East,1000,140,2400,30,60,350,,,,,,,
West Ahanta,1450,110,4000,30,200,300,,,,,,,
Mporhor Wassa East,2100,120,5750,200,1600,1750,,,,,,,
Wassa West,2200,1390,4000,180,600,1150,,,,,,,
East Nzema,1620,610,5850,30,100,350,,,,,,,
Jomoro,900,1020,4700,20,100,300,,,,,,,
 Amenfi East,4600,1230,5300,500,1200,4850,,,,,,,
Amenfi  West (Wassa Amenfi),4400,1430,3500,600,950,4800,,,,,,,
Aowin -Suaman,7900,1830,11300,860,5100,8300,,,,,,,
Bibiani-Anhwiaso-Bekwai,4700,1670,7300,2550,6500,8100,,,,,,,
Sefwi-Wiaso,7150,2830,9700,1700,9500,12400,,,,,,,
Bia,5000,2110,3650,1700,5700,7000,,,,,,,
Juabeso,7100,2920,5800,1750,6200,7200,,,,,,,
TOTAL,50120,17410,73250,10150,37810,56850,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
AVERAGE YIELD FOR MAJOR CROPS IN THE WESTERN REGION - 2011 (Figures in Mt/Ha),,,,,,,,,,,,,
DISTRICTS,MAIZE,RICE,CASSAVA,YAM,COCOYAM,PLANTAIN,,,,,,,
Shama Ahanta East,1.12,1.21,7.6,4.9,4.9,8.98,,,,,,,
West Ahanta,1.15,1.19,9.2,4.8,4.8,7.05,,,,,,,
Mporhor Wassa East,1.32,1.22,10.6,4.92,4.65,8.99,,,,,,,
Wassa West,1.18,1.19,8.6,5.8,4.75,7.8,,,,,,,
East Nzema,1.33,1.4,9.4,4.8,4.9,9.85,,,,,,,
Jomoro,1.3,1.19,9.7,4.8,3.9,10.8,,,,,,,
 Amenfi East,1.38,1.18,8.1,7.9,5.82,10.5,,,,,,,
Amenfi  West (Wassa Amenfi),1.4,1.35,9.4,6.8,4.8,9.6,,,,,,,
Aowin -Suaman,1.46,1.43,7.95,6.8,4.8,10.9,,,,,,,
Bibiani-Anhwiaso-Bekwai,1.42,1.16,10.01,7.8,5.75,9.9,,,,,,,
Sefwi-Wiaso,1.46,1.34,10.6,8.9,6.8,9.6,,,,,,,
Bia,1.6,1.25,8,5,6.7,9.85,,,,,,,
Juabeso,1.5,1.58,10.8,10.3,6.8,9.76,,,,,,,
AVERAGE YIELD,1.4222885075818037,1.3295749569213098,9.342907849829352,7.682955665024631,6.103491139910076,9.895778364116095,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PRODUCTION OF MAJOR CROPS IN THE WESTERN REGION - 2011 (Figures in Metric Tons),,,,,,,,,,,,,
DISTRICTS,MAIZE,RICE,CASSAVA,YAM,COCOYAM,PLANTAIN,,,,,,,
Shama Ahanta East,1120,169.4,18240,147,294,3143,,,,,,,
West Ahanta,1667.4999999999998,130.9,36800,144,960,2115,,,,,,,
Mporhor Wassa East,2772,146.4,60950,984,7440.000000000001,15732.5,,,,,,,
Wassa West,2596,1654.1,34400,1044,2850,8970,,,,,,,
East Nzema,2154.6,854,54990,144,490.00000000000006,3447.5,,,,,,,
Jomoro,1170,1213.8,45590,96,390,3240,,,,,,,
 Amenfi East,6347.999999999999,1451.3999999999999,42930,3950,6984,50925,,,,,,,
Amenfi  West (Wassa Amenfi),6160,1930.5000000000002,32900,4080,4560,46080,,,,,,,
Aowin -Suaman,11534,2616.9,89835,5848,24480,90470,,,,,,,
Bibiani-Anhwiaso-Bekwai,6674,1937.1999999999998,73073,19890,37375,80190,,,,,,,
Sefwi-Wiaso,10439,3792.2000000000003,102820,15130,64600,119040,,,,,,,
Bia,8000,2637.5,29200,8500,38190,68950,,,,,,,
Juabeso,10650,4613.6,62640.00000000001,18025,42160,70272,,,,,,,
TOTAL,71285.1,23147.9,684368,77982,230773,562575,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
CROPPED AREA FOR MAJOR CROPS IN THE CENTRAL REGION - 2011 (Figures in Hectares),,,,,,,,,,,,,
DISTRICT,MAIZE,RICE,CASSAVA,YAM,COCOYAM,PLANTAIN,,,,,,,
Upper Denkyira,10019.18,771,8920.1,450,5689,5973.4,,,,,,,
Twifo-Herman/L. Denkyira,6813,593,9954.8,390,1985,3033,,,,,,,
Assin South,4113.44,617,4725.4,87,1321,1301,,,,,,,
Assin North,9950,2120,9732,209,2210,1700,,,,,,,
Abura-Asebu-Kwamankesi,4126,138.54,5102,117,755,1123,,,,,,,
Asikuma-Odoben-Brakwa,5050,46,4641,19.1,17,431,,,,,,,
Mfantsiman,7005,0,9935.36,0,0,304,,,,,,,
Komenda-Edina-Eguafo-Abirem,13596.2,0,15410,0,0,502,,,,,,,
Ajumako-Esiam-Enyan,5690,0,6471,821,1090,512,,,,,,,
Awutu-Efutu-Senya,18101,0,31205,203,0,82,,,,,,,
Gomoa,6117.69,41,3533.2,12.2,0,57,,,,,,,
