CROPPED AREA FOR MAJOR CROPS IN GHANA  - 2011 (Figures in Hectares),,,,,,,,,,,
REGION,MAIZE,RICE,MILLET,SORGHUM,CASSAVA,YAM,COCOYAM,PLANTAIN,G'NUTS,COWPEA,SOYABEAN
WESTERN,50120,17410,,,73250,10150,37810,56850,,,
CENTRAL ,104600.51,4328.364561403509,,,122274.86,2818.2999999999997,15944,17862.4,,,
EASTERN ,174573.2,6655,,,186165,39209,31017.77,84768.04000000001,,,
GREATER ACCRA,3930.69,2909.31,,,6741.5,,,,,,
VOLTA,53923,22759,,4403.6,105169,27355.5,6268.1,7899.4,,1973.2,4337.2
ASHANTI,153936.37550000005,10280.7,,,121540.513605,33938,64108.8,96216.34396874999,6261.599999999999,8212.575,
BRONG AHAFO,236651,3840,,630,184903,125473,49214,72901,11722,7690,0
NORTHERN,134722.6216,73389,54670,70780,89320,138553,,,130351.5,62544,60431.29
UPPER WEST,67350,4829,63906.38095238095,101438.52447552448,,26301.6,,,132605.2,75955.5,15630
UPPER EAST,43370,51080,60100,66230,,,,,75840,25880,5540
TOTAL,1023177.3971000002,197480.37456140353,178676.38095238095,243482.12447552447,889363.873605,403798.39999999997,204362.67,336497.18396875,356780.30000000005,182255.275,85938.48999999999
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
PRODUCTION OF MAJOR CROPS IN GHANA  -  2011 (Figures in Metric Tons),,,,,,,,,,,
REGION,MAIZE,RICE,MILLET,SORGHUM,CASSAVA,YAM,COCOYAM,PLANTAIN,G'NUTS,COWPEA,SOYABEAN
WESTERN,56134.40000000001,21066.1,0,0,556700,49735,185269,510513,0,0,0
CENTRAL ,202361.98340000003,5366.446800000001,0,,1976946.196,15711.550000000001,94347.41,159262.076,,,
EASTERN ,364165.6,22320.199999999997,0,,3858148.75,682993.5,253441.22499999995,854240,0,0,
GREATER ACCRA,4461.2519999999995,18773.095,0,,71863,,,,0,,
VOLTA,97857.329,75389.316,0,5345.106400000001,1660006.6391999996,426750.9565000001,49277.597400000006,62555.109039999996,0,1384.5480000000002,5001.221399999999
ASHANTI,173734.52019999997,27624.569499999994,0,,1900443.79606,470813.80499999993,385437.332,977431.904671875,8142.8279999999995,2386.9199999999996,0
BRONG AHAFO,434740.50000000006,6159.77,,708.09,2883352.5700000003,2171341.28,331872.49999999994,1055831.7500000002,13694.51,7280.349999999999,
NORTHERN,192604.11347200003,171293.465,79074.2,130634.29999999999,1333406.4,2005607.4449999998,0,0,224476.39,124720.47800000002,126656.14059999998
UPPER WEST,82651,6526.8,54326.65175983436,80836.31124260355,,32184.434227677342,,,162264.78,84996.3,17736.100000000002
UPPER EAST,75273.1,109454.8,50521.100000000006,69544.8,,,,,56524.00000000001,15910.000000000002,15117.400000000001
TOTAL,1683983.798072,463974.56229999993,183921.95175983437,287068.6076426036,14240867.35126,5855137.9707276765,1299645.0644,3619833.8397118747,465102.50800000003,236678.59600000002,164510.862
" Source:  Statistics, Research and Info. Directorate (SRID), Min. of Food & Agric.- January, 2012",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
AVERAGE YIELD FOR MAJOR CROPS IN GHANA - 2011 (Figures in Mt/Ha),,,,,,,,,,,
REGION,MAIZE,RICE,MILLET,SORGHUM,CASSAVA,YAM,COCOYAM,PLANTAIN,G'NUTS,COWPEA,SOYABEAN
WESTERN,1.12,1.21,,,7.6,4.9,4.9,8.98,,,
CENTRAL ,1.9346175597040591,1.239832441068662,,,16.168051192207457,5.574832345740341,5.91742410938284,8.91605137047653,,,
EASTERN ,2.0860338242066936,3.3538993238166785,,,20.72435071039132,17.419304241373155,8.170839650948471,10.07738293819227,,,
GREATER ACCRA,1.134979354769773,6.4527654323533765,,,10.65979381443299,,,,,,
VOLTA,1.814760473267437,3.3125056461180193,,1.2138037968934507,15.784182023219767,15.600188499570473,7.861648250666072,7.9189696736460995,,0.7016764646259883,1.153099096191091
ASHANTI,1.1286125169291121,2.6870319628040886,,,15.636298874269514,13.872762242913547,6.01223750873515,10.158688891664124,1.3004388654656958,0.29064209459274337,
BRONG AHAFO,1.8370532978943679,1.6041067708333334,,1.123952380952381,15.59386581072238,17.305247184653272,6.743457146340471,14.48309008106885,1.1682741852926122,0.9467295188556566,
NORTHERN,1.4296345423254442,2.3340482224856585,1.4463910737150174,1.845638598474145,14.928419167039856,14.475380865084118,,,1.7220852080720208,1.994123784855462,2.0958702122691735
UPPER WEST,1.2271863400148477,1.3515841789190308,0.8500974542794905,0.7968995178169028,,17.96466450710223,,,1.2236683026005013,1.119027588522227,1.1347472808701218
UPPER EAST,1.735602951348859,2.1428112764291307,0.8406173044925126,1.0500498263626756,,,,,0.7453059071729958,0.6147604327666152,2.7287725631768955
AVERAGE YIELD,1.6458375672145698,2.349471755512263,1.0293579418806977,1.1790130723598995,16.01241940886943,14.500151488286425,6.359503251743579,10.757397125938633,1.3036103955291252,1.2986104023600964,1.9142861597870757
" Source:  Statistics, Research and Info. Directorate (SRID), Min. of Food & Agric.-January, 2012",,,,,,,,,,,
