region,crop,quantity
WESTERN,MAIZE,50120.0
WESTERN,RICE,17410.0
WESTERN,CASSAVA,73250.0
WESTERN,YAM,10150.0
WESTERN,COCOYAM,37810.0
WESTERN,PLANTAIN,56850.0
CENTRAL ,MAIZE,104600.51
CENTRAL ,RICE,4328.364561403509
CENTRAL ,CASSAVA,122274.86
CENTRAL ,YAM,2818.3
CENTRAL ,COCOYAM,15944.0
CENTRAL ,PLANTAIN,17862.4
EASTERN ,MAIZE,174573.2
EASTERN ,RICE,6655.0
EASTERN ,CASSAVA,186165.0
EASTERN ,YAM,39209.0
EASTERN ,COCOYAM,31017.77
EASTERN ,PLANTAIN,84768.04000000001
GREATER ACCRA,MAIZE,3930.69
GREATER ACCRA,RICE,2909.31
GREATER ACCRA,CASSAVA,6741.5
VOLTA,MAIZE,53923.0
VOLTA,RICE,22759.0
VOLTA,SORGHUM,4403.6
VOLTA,CASSAVA,105169.0
VOLTA,YAM,27355.5
VOLTA,COCOYAM,6268.1
VOLTA,PLANTAIN,7899.4
VOLTA,COWPEA,1973.2
VOLTA,SOYABEAN,4337.2
ASHANTI,MAIZE,153936.37550000005
ASHANTI,RICE,10280.7
ASHANTI,CASSAVA,121540.513605
ASHANTI,YAM,33938.0
ASHANTI,COCOYAM,64108.8
ASHANTI,PLANTAIN,96216.34396875
ASHANTI,G'NUTS,6261.599999999999
ASHANTI,COWPEA,8212.575
BRONG AHAFO,MAIZE,236651.0
BRONG AHAFO,RICE,3840.0
BRONG AHAFO,SORGHUM,630.0
BRONG AHAFO,CASSAVA,184903.0
BRONG AHAFO,YAM,125473.0
BRONG AHAFO,COCOYAM,49214.0
BRONG AHAFO,PLANTAIN,72901.0
BRONG AHAFO,G'NUTS,11722.0
BRONG AHAFO,COWPEA,7690.0
NORTHERN,MAIZE,134722.6216
NORTHERN,RICE,73389.0
NORTHERN,MILLET,54670.0
NORTHERN,SORGHUM,70780.0
NORTHERN,CASSAVA,89320.0
NORTHERN,YAM,138553.0
NORTHERN,G'NUTS,130351.5
NORTHERN,COWPEA,62544.0
NORTHERN,SOYABEAN,60431.29
UPPER WEST,MAIZE,67350.0
UPPER WEST,RICE,4829.0
UPPER WEST,MILLET,63906.38095238095
UPPER WEST,SORGHUM,101438.52447552448
UPPER WEST,YAM,26301.6
UPPER WEST,G'NUTS,132605.2
UPPER WEST,COWPEA,75955.5
UPPER WEST,SOYABEAN,15630.0
UPPER EAST,MAIZE,43370.0
UPPER EAST,RICE,51080.0
UPPER EAST,MILLET,60100.0
UPPER EAST,SORGHUM,66230.0
UPPER EAST,G'NUTS,75840.0
UPPER EAST,COWPEA,25880.0
UPPER EAST,SOYABEAN,5540.0
WESTERN,MAIZE,56134.40000000001
WESTERN,RICE,21066.1
WESTERN,CASSAVA,556700.0
WESTERN,YAM,49735.0
WESTERN,COCOYAM,185269.0
WESTERN,PLANTAIN,510513.0
CENTRAL ,MAIZE,202361.98340000003
CENTRAL ,RICE,5366.446800000001
CENTRAL ,CASSAVA,1976946.196
CENTRAL ,YAM,15711.55
CENTRAL ,COCOYAM,94347.41
CENTRAL ,PLANTAIN,159262.076
EASTERN ,MAIZE,364165.6
EASTERN ,RICE,22320.2
EASTERN ,CASSAVA,3858148.75
EASTERN ,YAM,682993.5
EASTERN ,COCOYAM,253441.22499999995
EASTERN ,PLANTAIN,854240.0
GREATER ACCRA,MAIZE,4461.252
GREATER ACCRA,RICE,18773.095
GREATER ACCRA,CASSAVA,71863.0
VOLTA,MAIZE,97857.329
VOLTA,RICE,75389.316
VOLTA,SORGHUM,5345.106400000001
VOLTA,CASSAVA,1660006.6391999996
VOLTA,YAM,426750.9565000001
VOLTA,COCOYAM,49277.597400000006
VOLTA,PLANTAIN,62555.10904
VOLTA,COWPEA,1384.5480000000002
VOLTA,SOYABEAN,5001.221399999999
ASHANTI,MAIZE,173734.52019999997
ASHANTI,RICE,27624.569499999998
ASHANTI,CASSAVA,1900443.79606
ASHANTI,YAM,470813.80499999993
ASHANTI,COCOYAM,385437.332
ASHANTI,PLANTAIN,977431.904671875
ASHANTI,G'NUTS,8142.827999999999
ASHANTI,COWPEA,2386.92
BRONG AHAFO,MAIZE,434740.50000000006
BRONG AHAFO,RICE,6159.77
BRONG AHAFO,SORGHUM,708.09
BRONG AHAFO,CASSAVA,2883352.5700000003
BRONG AHAFO,YAM,2171341.28
BRONG AHAFO,COCOYAM,331872.49999999994
BRONG AHAFO,PLANTAIN,1055831.7500000002
BRONG AHAFO,G'NUTS,13694.51
BRONG AHAFO,COWPEA,7280.349999999999
NORTHERN,MAIZE,192604.11347200003
NORTHERN,RICE,171293.465
NORTHERN,MILLET,79074.2
NORTHERN,SORGHUM,130634.3
NORTHERN,CASSAVA,1333406.4
NORTHERN,YAM,2005607.445
NORTHERN,G'NUTS,224476.39
NORTHERN,COWPEA,124720.47800000002
NORTHERN,SOYABEAN,126656.14059999998
UPPER WEST,MAIZE,82651.0
UPPER WEST,RICE,6526.8
UPPER WEST,MILLET,54326.65175983436
UPPER WEST,SORGHUM,80836.31124260355
UPPER WEST,YAM,32184.434227677342
UPPER WEST,G'NUTS,162264.78
UPPER WEST,COWPEA,84996.3
UPPER WEST,SOYABEAN,17736.100000000002
UPPER EAST,MAIZE,75273.1
UPPER EAST,RICE,109454.8
UPPER EAST,MILLET,50521.100000000006
UPPER EAST,SORGHUM,69544.8
UPPER EAST,G'NUTS,56524.00000000001
UPPER EAST,COWPEA,15910.000000000002
UPPER EAST,SOYABEAN,15117.4
WESTERN,MAIZE,1.12
WESTERN,RICE,1.21
WESTERN,CASSAVA,7.6
WESTERN,YAM,4.9
WESTERN,COCOYAM,4.9
WESTERN,PLANTAIN,8.98
CENTRAL ,MAIZE,1.9346175597040591
CENTRAL ,RICE,1.239832441068662
CENTRAL ,CASSAVA,16.168051192207457
CENTRAL ,YAM,5.574832345740341
CENTRAL ,COCOYAM,5.91742410938284
